HMS,StructuredFormula,Temperature,Pressure,crystal_system
I 4/m,Sr1.95Bi0.05Mn1Mo1O6,293,0.101325,tetragonal
I 4/m,Sr1.94Bi0.06Mn1Mo1O6,293,0.101325,tetragonal
I 4/m,Sr1.92Bi0.08Mn1Mo1O6,293,0.101325,tetragonal
I 4/m,Sr1.9Bi0.1Mn1Mo1O6,293,0.101325,tetragonal
I 4/m m m,La1.7Sr0.65Ca0.65Mn2O7,293,0.101325,tetragonal
I 4/m m m,La1.6Sr0.7Ca0.7Mn2O7,293,0.101325,tetragonal
I 4/m m m,La1.5Sr0.75Ca0.75Mn2O7,293,0.101325,tetragonal
I 4/m m m,La1Sr1Mn1O3.3H0.7,293,0.101325,tetragonal
I 4/m m m,La1Sr1Mn1O3.3H0.7,300,0.101325,tetragonal
I 4/m m m,La1Sr1Mn1O4F1.84,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.95Ru0.05O3,293,0.101325,tetragonal
I 4/m c m,Sr0.7Ca0.2Nd0.1Mn1O3,293,0.101325,tetragonal
I 4/m c m,Sr0.6Ca0.3Nd0.1Mn1O3,293,0.101325,tetragonal
I 4/m c m,Sr0.5Ca0.4Nd0.1Mn1O3,293,0.101325,tetragonal
I 4/m c m,Sr0.7Ca0.1Nd0.2Mn1O3,293,0.101325,tetragonal
I 4/m c m,Sr0.6Ca0.2Nd0.2Mn1O3,293,0.101325,tetragonal
I 4/m c m,Sr0.5Ca0.3Nd0.2Mn1O3,293,0.101325,tetragonal
I 4/m c m,Sr0.4Ca0.4Nd0.2Mn1O3,293,0.101325,tetragonal
I 4/m c m,Sr0.3Ca0.5Nd0.2Mn1O3,293,0.101325,tetragonal
I 4/m m m,Gd1Sr2Mn1Cr1O7,293,0.101325,tetragonal
I 4/m c m,Sr0.65Pr0.3Ce0.05Mn1O3,300,0.101325,tetragonal
I 4/m c m,Sr0.65Pr0.25Ce0.1Mn1O3,300,0.101325,tetragonal
I 4/m c m,Sr0.65Pr0.2Ce0.15Mn1O3,300,0.101325,tetragonal
I 4/m c m,Sr0.65Pr0.15Ce0.2Mn1O3,300,0.101325,tetragonal
I 4/m c m,Sr0.65Pr0.1Ce0.25Mn1O3,300,0.101325,tetragonal
I 4/m c m,Sr0.65Pr0.05Ce0.3Mn1O3,300,0.101325,tetragonal
P 4 m m,Bi0.8La0.2Fe0.8Mn0.2O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.95Cr0.05O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.9Cr0.1O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.85Cr0.15O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.8Cr0.2O3,293,0.101325,tetragonal
I 4/m m m,Sr2Mn1O2Ag1.5Se2,293,0.101325,tetragonal
I 4/m m m,La1Sr1Ni0.9Mn0.1O4,293,0.101325,tetragonal
I 4/m m m,La1Sr1Ni0.8Mn0.2O4,293,0.101325,tetragonal
I 4/m m m,La1Sr1Ni0.7Mn0.3O4,293,0.101325,tetragonal
I 4/m m m,La1Sr1Ni0.5Mn0.5O4,293,0.101325,tetragonal
P 4/m m m,Gd1Ba1Mn1Fe1O5,293,0.101325,tetragonal
I 4/m m m,La2Fe1Mn1Se2O3,300,0.101325,tetragonal
I 4/m m m,K2H4Mn1V14O40,296,0.101325,tetragonal
C m c m,Rb2Mn1F5H2O1,293,0.101325,orthorhombic
P b c m,Mn9Bi1Se8O24Cl5,293,0.101325,orthorhombic
P b n m,Mg0.75Fe1.1Mn0.15Si1O4,293,0.101325,orthorhombic
P b c n,Mn0.97Ti0.03Ta1.28Nb0.72O6,293,0.101325,orthorhombic
P b c n,Ta0.42Mn0.3Nb0.24Ti0.02O2,293,0.101325,orthorhombic
P b n m,La0.5Sr0.5Mn0.5Cr0.5O3,293,0.101325,orthorhombic
P n m a,La0.5Sr0.5Mn0.5Rh0.5O3,293,0.101325,orthorhombic
P n n m,Al1.81Mn0.16Fe0.03Si1O5,293,0.101325,orthorhombic
P n m a,Dy0.55Sr0.45Mn0.8Fe0.2O3,293,0.101325,orthorhombic
F d d d Z,Li3Mg2Ta0.999Mn0.001O6,293,0.101325,orthorhombic
P b n m,Eu0.65Sr0.35Mn0.7Fe0.3O3,293,0.101325,orthorhombic
F d d d Z,K11Mn21Ge32O96H11,297,0.101325,orthorhombic
P n m a,Pb0.5Sr0.5Mn1B1O4,300,0.101325,orthorhombic
P b c n,Fe0.01Mn0.99Nb0.56Ta1.44O6,300,0.101325,orthorhombic
P b n m,La0.65Ca0.3Li0.05Mn1O3,293,0.101325,orthorhombic
P b n m,La0.65Ca0.25Li0.1Mn1O3,293,0.101325,orthorhombic
P b n m,La0.65Ca0.2Li0.15Mn1O3,293,0.101325,orthorhombic
P b n m,Gd0.5Sr0.5Fe0.5Mn0.5O3,293,0.101325,orthorhombic
